Java	JactiveRecord (default SQL)	SQLite	HSQLDB	MySQL	PostgreSQL
java.sql.Types#BIT	BIT		 BIT 	BIT / BOOL	bit / bool
java.sql.Types#TINYINT	TINYINT		 TINYINT 	TINYINT (UNSIGNED)	
java.sql.Types#SMALLINT	SMALLINT		 SMALLINT 	SMALLINT (UNSIGNED)	int2
java.sql.Types#INTEGER	INTEGER	INTEGER	 INTEGER 	INTEGER (UNSIGNED)	Serial / int4
java.sql.Types#BIGINT	BIGINT		 BIGINT 	BIGINT /UNSIGNED)	Bigserial / int8
java.sql.Types#FLOAT					
java.sql.Types#REAL	REAL	REAL	 REAL 	FLOAT 	float4
java.sql.Types#DOUBLE	DOUBLE		 DOUBLE /  FLOAT	DOUBLE (PRECISION)	float8
java.sql.Types#NUMERIC	NUMERIC		 NUMERIC 	NUMERIC 	numeric
java.sql.Types#DECIMAL			 DECIMAL 	DECIMAL 	
java.sql.Types#CHAR			 CHARACTER 	CHAR 	char
java.sql.Types#VARCHAR	VARCHAR	TEXT	 VARCHAR 	VARCHAR 	Varchar / text
java.sql.Types#LONGVARCHAR				TEXT 	
java.sql.Types#DATE	DATE		 DATE 	DATE 	date
java.sql.Types#TIME	TIME		 TIME 	TIME 	time
java.sql.Types#TIMESTAMP	TIMESTAMP		 TIMESTAMP 	TIMESTAMP 	timestamp
java.sql.Types#BINARY			 BINARY  /  UUID 	BINARY	bytea
java.sql.Types#VARBINARY	VARBINARY		 VARBINARY 	VARBINARY	
java.sql.Types#LONGVARBINARY				LONG VARBINARY	
java.sql.Types#NULL		NULL			
java.sql.Types#OTHER			 OTHER 		Json / uuid
java.sql.Types#JAVA_OBJECT					
java.sql.Types#DISTINCT					
java.sql.Types#STRUCT					
java.sql.Types#ARRAY	ARRAY				
java.sql.Types#BLOB	BLOB	BLOB	 BLOB 		
java.sql.Types#CLOB	CLOB		 CLOB 		
java.sql.Types#BOOLEAN			 BOOLEAN 		
java.sql.Types#ROWID					
java.sql.Types#NCHAR					
java.sql.Types#NVARCHAR			 NVARCHAR 		
java.sql.Types#LONGNVARCHAR					
java.sql.Types#NCLOB	NCLOB				
java.sql.Types#SQLXML	XML				xml
